Entry,t0,t4,t8,t12,t16,t20,t24
DDB_G0274371,2.27,0.77,0.57,1.51,1.12,1.79,0.94
DDB_G0287255,30.08,3.94,7.41,24.27,18.55,14.94,43.6
DDB_G0292600,1969.06,977.29,479.12,375.25,659.01,377.88,200.35
DDB_G0287621,65,4.51,15.5,14.46,8,3.77,3.1
DDB_G0295755,230.06,209.88,53.74,50.26,137.48,165.37,138.64
DDB_G0278229,40.13,2.69,9.29,11.81,14.53,4.54,5.3
DDB_G0282517,55.38,31.26,12.77,11.16,10.17,10.46,7.8
DDB_G0284947,629.37,168.88,144.91,121.79,73.22,45.5,46.24
DDB_G0269880,1.19,0.49,0.27,1.68,0.89,2.81,0.75
DDB_G0283175,22,1.55,4.99,4.81,2.1,1.74,2.2
DDB_G0274407,42.62,7.78,9.63,8.23,7.05,2.97,5
DDB_G0284547,20.39,8.86,4.51,8.25,6.41,4.39,5.54
DDB_G0282937,45.21,22.58,9.87,21.06,24.64,47.89,32.98
DDB_G0288989,3.89,0.83,0.82,0.73,1.68,1.1,0.76
DDB_G0268114,10.73,1.86,2.26,4.13,2.59,1.6,1.07
DDB_G0294597,21.8,7.52,4.55,5.53,3.45,1.96,2.37
DDB_G0278635,47.48,1.67,9.89,16.7,18.38,54.19,56.86
DDB_G0270070,37.16,13.48,7.74,11.96,7.15,6.99,7.97
DDB_G0289325,621.68,447.44,125.38,99.92,56.8,37.22,35.3
DDB_G0277851,146.63,10.12,29.49,31.81,19.55,21.37,15.37
DDB_G0292594,493.31,205.08,98.39,66.37,45.97,39.56,40.66
DDB_G0282651,3.14,1.44,0.62,0.38,0.31,0.79,0.3
DDB_G0283573,358.61,59.43,70.55,36.98,23.26,29.8,44.29
DDB_G0277701,34.63,3.58,6.81,12.33,14.76,14.65,5.71
DDB_G0288181,152.39,39.78,29.77,38.11,19.8,12.59,14.47
DDB_G0278095,229.73,99.82,43.89,36.12,25.19,17.6,16.48
DDB_G0289203,1.74,1.12,0.33,2.59,6.85,20,13.67
